1                                                                                             
5TELTESTCOMPANY     260218                                                                     
623222000027647390464       0000034451PPDC                                                      
628444000042550503225       0000026613RCKD                                                      
622555000053895876780       0000041350WEBC                                                      
627444000041481756733       0000028225PPDD                                                      
622444000046957185583       0000029315BOCC                                                      
627222000026287638154       0000039295ARCD                                                      
623333000032284774848       0000010649WEBC                                                      
629111000019808433321       0000017542WEBD                                                      
623444000046858927385       0000047194BOCC                                                      
627222000028267803005       0000002833RCKD                                                      
622555000051663244869       0000027305RCKC                                                      
628333000031688525842       0000035253CCDD                                                      
623222000028884027552       0000016510CCDC                                                      
627333000036674899370       0000032900ARCD                                                      
622222000022228906698       0000018666BOCC                                                      
628333000034780295815       0000030655TELD                                                      
622444000041772583109       0000042952WEBC                                                      
627333000032224467507       0000029872PPDD                                                      
622111000011673449113       0000049532WEBC                                                      
628111000016910415383       0000033460TELD                                                      
622111000014453338245       0000041115TELC                                                      
629333000039421918521       0000034241CCDD                                                      
622333000039645057357       0000033913CCDC                                                      
628111000016523110911       0000030889WEBD                                                      
623555000051315686218       0000030278TELC                                                      
627111000017440301548       0000047416PPDD                                                      
623333000034798264403       0000002766PPDC                                                      
629444000046854690022       0000026305BOCD                                                      
622555000055370452194       0000040842TELC                                                      
627444000049882760531       0000048642CCDD                                                      
623555000051286109445       0000048916PPDC                                                      
627111000017670984510       0000031118WEBD                                                      
623333000034050304537       0000030775CCDC                                                      
628333000037353233891       0000003102TELD                                                      
623222000025109487754       0000021108BOCC                                                      
628444000047923823303       0000012512WEBD                                                      
623333000036803992041       0000009187PPDC                                                      
629555000052235621846       0000037031TELD                                                      
623444000047109324435       0000000783RCKC                                                      
629333000034170303534       0000035784WEBD                                                      
623444000048798572296       0000025278BOCC                                                      
627555000059099769102       0000032552ARCD                                                      
623444000047977666574       0000020650ARCC                                                      
628222000028408090327       0000025132BOCD                                                      
623222000026418512843       0000012138ARCC                                                      
627555000058968464660       0000023797CCDD                                                      
622222000029444853371       0000047798ARCC                                                      
628555000058551702343       0000017083CCDD                                                      
622222000024961178999       0000035055BOCC                                                      
628111000018264199721       0000034309TELD                                                      
623333000035059230571       0000020812BOCC                                                      
628444000046122509783       0000013050BOCD                                                      
623333000033318012409       0000000701PPDC                                                      
627555000058024194369       0000042367WEBD                                                      
623555000058701433394       0000034971TELC                                                      
627444000047793284233       0000030144RCKD                                                      
622222000024630154549       0000034807RCKC                                                      
629111000012860430427       0000039184CCDD                                                      
622555000052550102738       0000031586RCKC                                                      
628333000035312507850       0000022018ARCD                                                      
622333000032344324573       0000002488WEBC                                                      
627111000018778320983       0000025821WEBD                                                      
623555000054727354666       0000024429BOCC                                                      
627444000043824014922       0000047963CCDD                                                      
622555000051444231883       0000031123CCDC                                                      
629333000031491941244       0000022862CCDD                                                      
623555000052502706885       0000020352PPDC                                                      
628222000024615450504       0000032526TELD                                                      
623555000059206514284       0000036682RCKC                                                      
627444000046934214102       0000005664WEBD                                                      
623111000013337982207       0000042790BOCC                                                      
628555000055564687177       0000018650PPDD                                                      
622555000054218052461       0000035420CCDC                                                      
627222000026133295612       0000034853TELD                                                      
623333000034491060354       0000031304TELC                                                      
627111000013873860400       0000016274ARCD                                                      
623333000032963468183       0000033576ARCC                                                      
628444000048730399958       0000020061CCDD                                                      
622444000041892021341       0000042615CCDC                                                      
627555000053512474017       0000016733RCKD                                                      
622444000046196071612       0000015677BOCC                                                      
628111000012456448523       0000031633WEBD                                                      
623333000032000594859       0000011086CCDC                                                      
627444000044494065359       0000028770PPDD                                                      
622444000046279071200       0000030342CCDC                                                      
629333000034637615309       0000006403ARCD                                                      
623111000016786302498       0000010046ARCC                                                      
627444000045892940277       0000026616PPDD                                                      
623333000039115674248       0000041655RCKC                                                      
627111000013505822536       0000008222CCDD                                                      
622555000053682758270       0000034047CCDC                                                      
628333000032054759378       0000036275RCKD                                                      
623555000056411824937       0000031872WEBC                                                      
628222000029356731628       0000041112BOCD                                                      
623111000015662800861       0000020128CCDC                                                      
628444000048674039136       0000038320BOCD                                                      
622333000038122793223       0000021729ARCC                                                      
628111000013142284176       0000026470RCKD                                                      
622555000051731031668       0000013843TELC                                                      
628222000023662875989       0000043329PPDD                                                      
623444000049922423601       0000010102WEBC                                                      
627555000052749831748       0000045181ARCD                                                      
623111000012654923358       0000004051BOCC                                                      
629444000048206777139       0000045875BOCD                                                      
623111000011521897913       0000041261ARCC                                                      
628222000026865814145       0000019754ARCD                                                      
623222000022372780112       0000044491PPDC                                                      
628444000041187135444       0000011862PPDD                                                      
623111000016669070710       0000032660RCKC                                                      
627222000026409123084       0000015180ARCD                                                      
622444000042920510153       0000040244CCDC                                                      
627444000049790885947       0000034311RCKD                                                      
623222000029435111750       0000010075RCKC                                                      
627333000036635548502       0000030016BOCD                                                      
623333000037737469807       0000036669TELC                                                      
629111000019684823232       0000035792RCKD                                                      
622222000024538084921       0000032115ARCC                                                      
627333000034707058727       0000030515CCDD                                                      
623333000035292918827       0000016933WEBC                                                      
627222000028393512910       0000030468TELD                                                      
622222000022988396543       0000000154WEBC                                                      
627333000036331498052       0000042604PPDD                                                      
623111000014960902727       0000015838ARCC                                                      
627222000026875800231       0000006457PPDD                                                      
622222000028982347604       0000037792CCDC                                                      
628333000036326670327       0000004944RCKD                                                      
622333000032424611362       0000034338TELC                                                      
627555000055577111343       0000043018WEBD                                                      
623555000053170565101       0000016930RCKC                                                      
627444000044005440521       0000020216PPDD                                                      
622222000028671003078       0000048128RCKC                                                      
628555000059369356943       0000027000WEBD                                                      
623222000027623836176       0000004439RCKC                                                      
628111000019708955305       0000046522PPDD                                                      
622333000039274869991       0000036643BOCC                                                      
627111000019395697369       0000011848TELD                                                      
623111000016802324857       0000019855RCKC                                                      
628444000046245944890       0000013520WEBD                                                      
623111000014501939839       0000001871PPDC                                                      
627333000031009105339       0000019479ARCD                                                      
