1                                                                                             
5CCDTESTCOMPANY     260218                                                                     
622222000028838717182       0000020468WEBC                                                      
628333000039258855845       0000021608TELD                                                      
622555000054456910796       0000007424ARCC                                                      
629444000049842337905       0000016338WEBD                                                      
622444000041541717961       0000030163CCDC                                                      
627444000043768075197       0000015971WEBD                                                      
622444000048797949839       0000043104CCDC                                                      
629555000052510342817       0000024151RCKD                                                      
623333000033812129210       0000042546ARCC                                                      
629555000055347712767       0000047805ARCD                                                      
622444000048375938865       0000041152PPDC                                                      
629333000032452533618       0000016917PPDD                                                      
623333000031005276735       0000011913WEBC                                                      
628111000012052412909       0000029270BOCD                                                      
623555000056017953323       0000002793PPDC                                                      
628333000037514948587       0000027567WEBD                                                      
622555000053334335656       0000041028ARCC                                                      
629222000025544524554       0000018392WEBD                                                      
622444000048990482391       0000012612PPDC                                                      
627333000032212061685       0000024784PPDD                                                      
623111000018801013994       0000025052RCKC                                                      
628111000019531534497       0000029058RCKD                                                      
622222000026990623108       0000046774PPDC                                                      
629111000012478732067       0000034947ARCD                                                      
623333000034652107553       0000006106ARCC                                                      
627222000028302595317       0000034989BOCD                                                      
622333000035110050071       0000018722TELC                                                      
627333000038066730718       0000009276BOCD                                                      
623222000024893560452       0000003815ARCC                                                      
628333000037081929089       0000026952ARCD                                                      
622555000056395723597       0000020419ARCC                                                      
629333000039816401140       0000024577PPDD                                                      
623111000012202318242       0000046769ARCC                                                      
628333000035268967642       0000009120RCKD                                                      
623111000017798952738       0000000250WEBC                                                      
628222000021999183907       0000038799WEBD                                                      
623111000019419488518       0000039524TELC                                                      
629111000018957142705       0000040282ARCD                                                      
623444000043143802333       0000045101WEBC                                                      
629111000011489536840       0000028511RCKD                                                      
622444000043152643692       0000031222CCDC                                                      
629333000033846997185       0000039047ARCD                                                      
623444000048691898894       0000034549BOCC                                                      
628222000024446059906       0000042848CCDD                                                      
623333000032196975279       0000030276RCKC                                                      
628444000048171048965       0000024659TELD                                                      
622555000058793452070       0000022623RCKC                                                      
627333000031920046144       0000027968WEBD                                                      
622222000022986208132       0000023207ARCC                                                      
629555000052499595117       0000038090PPDD                                                      
623333000034415312229       0000036835CCDC                                                      
627444000047635261837       0000041241WEBD                                                      
622444000047945095754       0000033086RCKC                                                      
628333000035995113206       0000012651RCKD                                                      
622111000011682255790       0000025303CCDC                                                      
628222000024215848213       0000021776PPDD                                                      
