1                                                                                             
5PPDCONSOLIDATED    260218                                                                     
627222000022900689102       0000040749CCDD                                                      
627222000025062251606       0000004602ARCD                                                      
627222000024737495073       0000000875TELD                                                      
627222000027246125259       0000021716PPDD                                                      
627222000022585453305       0000045495PPDD                                                      
627222000021349619546       0000036857TELD                                                      
627222000024880581014       0000020755CCDD                                                      
627333000039654431789       0000044991PPDD                                                      
622222000021884930861       0000047783TELC                                                      
627222000027557233611       0000022929PPDD                                                      
627333000035329058668       0000030272TELD                                                      
627333000032877359111       0000000140TELD                                                      
627333000035594653693       0000006129TELD                                                      
627333000034353832810       0000021606CCDD                                                      
627111000012872796998       0000021648BOCD                                                      
627555000054435311035       0000012888BOCD                                                      
622333000036341980066       0000002293BOCC                                                      
627444000041974964533       0000043274BOCD                                                      
627333000031502528355       0000030016BOCD                                                      
622111000012271912290       0000019177BOCC                                                      
627333000036440670835       0000004877WEBD                                                      
627111000011467205643       0000042704CCDD                                                      
627111000016714310072       0000049903ARCD                                                      
627333000032277434493       0000020168WEBD                                                      
622444000048541386933       0000017419TELC                                                      
627111000019948029253       0000003667ARCD                                                      
627444000046962403845       0000036609TELD                                                      
627444000045983302813       0000028839TELD                                                      
622444000045756853170       0000005504TELC                                                      
627444000041803531209       0000029291WEBD                                                      
622444000046380148273       0000049194RCKC                                                      
627333000034235101366       0000041174RCKD                                                      
627555000054061206110       0000016930RCKD                                                      
627555000054698223968       0000001227TELD                                                      
627555000052485157439       0000016733RCKD                                                      
622111000019123840303       0000035609RCKC                                                      
627333000034905188940       0000024244RCKD                                                      
627111000011354485987       0000020829RCKD                                                      
627444000047594281128       0000018904RCKD                                                      
627333000038999716502       0000015992RCKD                                                      
8000040000000954012                                                                          
900000100000040000000954012                                                                    
